rank,group_or_event_key,score_ns,member_count,source_member_ids_json
409,0:2304975:2304977,1484389,1,"[""0:2304975:2304977""]"
410,0:1810239:1810241,1483698,1,"[""0:1810239:1810241""]"
411,0:2146033:2146035,1483688,1,"[""0:2146033:2146035""]"
412,0:2341205:2341207,1483149,1,"[""0:2341205:2341207""]"
413,1:2174636:2174638,1482368,1,"[""1:2174636:2174638""]"
414,0:920429:920431,1479529,1,"[""0:920429:920431""]"
415,0:2098037:2098039,1478588,1,"[""0:2098037:2098039""]"
416,0:2366689:2366691,1478478,1,"[""0:2366689:2366691""]"
417,0:2151933:2151935,1477459,1,"[""0:2151933:2151935""]"
418,1:1675776:1675778,1475859,1,"[""1:1675776:1675778""]"
419,1:2139076:2139078,1475218,1,"[""1:2139076:2139078""]"
420,0:1818965:1818967,1474539,1,"[""0:1818965:1818967""]"
421,0:2420883:2420885,1474089,1,"[""0:2420883:2420885""]"
422,0:1720447:1720449,1473628,1,"[""0:1720447:1720449""]"
423,0:1297237:1297239,1470178,1,"[""0:1297237:1297239""]"
424,0:2353045:2353047,1469658,1,"[""0:2353045:2353047""]"
425,1:2317186:2317188,1468308,1,"[""1:2317186:2317188""]"
426,1:2327310:2327312,1468078,1,"[""1:2327310:2327312""]"
427,0:1973321:1973323,1467968,1,"[""0:1973321:1973323""]"
428,1:730698:730700,1467418,1,"[""1:730698:730700""]"
429,1:1610522:1610524,1464138,1,"[""1:1610522:1610524""]"
430,1:1677494:1677496,1462528,1,"[""1:1677494:1677496""]"
431,1:2117558:2117560,1462378,1,"[""1:2117558:2117560""]"
432,0:1582281:1582283,1461648,1,"[""0:1582281:1582283""]"
433,0:2154277:2154279,1457898,1,"[""0:2154277:2154279""]"
434,1:1789644:1789646,1456879,1,"[""1:1789644:1789646""]"
435,0:2317185:2317187,1455999,1,"[""0:2317185:2317187""]"
436,1:2104946:2104948,1455038,1,"[""1:2104946:2104948""]"
437,1:2048950:2048952,1454829,1,"[""1:2048950:2048952""]"
438,0:2272453:2272455,1454118,1,"[""0:2272453:2272455""]"
439,1:2270378:2270380,1454058,1,"[""1:2270378:2270380""]"
440,0:2182125:2182127,1453608,1,"[""0:2182125:2182127""]"
441,0:2191337:2191339,1452739,1,"[""0:2191337:2191339""]"
442,0:2123045:2123047,1452408,1,"[""0:2123045:2123047""]"
443,0:2033485:2033487,1452028,1,"[""0:2033485:2033487""]"
444,0:1668361:1668363,1450848,1,"[""0:1668361:1668363""]"
445,1:1693900:1693902,1449508,1,"[""1:1693900:1693902""]"
446,1:1796990:1796992,1449128,1,"[""1:1796990:1796992""]"
447,1:481074:481076,1448579,1,"[""1:481074:481076""]"
448,1:2453212:2453214,1448398,1,"[""1:2453212:2453214""]"
449,0:2161245:2161247,1447528,1,"[""0:2161245:2161247""]"
450,0:2327309:2327311,1446448,1,"[""0:2327309:2327311""]"
451,1:2141244:2141246,1445778,1,"[""1:2141244:2141246""]"
452,1:2154276:2154278,1445698,1,"[""1:2154276:2154278""]"
453,0:2128221:2128223,1445258,1,"[""0:2128221:2128223""]"
454,1:2037412:2037414,1445169,1,"[""1:2037412:2037414""]"
455,0:1610521:1610523,1444849,1,"[""0:1610521:1610523""]"
456,0:2091369:2091371,1444008,1,"[""0:2091369:2091371""]"
457,0:728795:728797,1443668,1,"[""0:728795:728797""]"
458,1:1680284:1680286,1442429,1,"[""1:1680284:1680286""]"
459,1:1749492:1749494,1441398,1,"[""1:1749492:1749494""]"
460,0:2305187:2305189,1437599,1,"[""0:2305187:2305189""]"
461,1:1849416:1849418,1436458,1,"[""1:1849416:1849418""]"
462,1:2272662:2272664,1436308,1,"[""1:2272662:2272664""]"
463,1:2086688:2086690,1435438,1,"[""1:2086688:2086690""]"
464,0:2131529:2131531,1435188,1,"[""0:2131529:2131531""]"
465,1:2337308:2337310,1434939,1,"[""1:2337308:2337310""]"
466,0:2319715:2319717,1434229,1,"[""0:2319715:2319717""]"
467,1:2300012:2300014,1430898,1,"[""1:2300012:2300014""]"
468,1:2298250:2298252,1430089,1,"[""1:2298250:2298252""]"
469,0:2086687:2086689,1427848,1,"[""0:2086687:2086689""]"
470,0:1693899:1693901,1423888,1,"[""0:1693899:1693901""]"
471,0:1785563:1785565,1422128,1,"[""0:1785563:1785565""]"
472,0:2305395:2305397,1420178,1,"[""0:2305395:2305397""]"
473,1:2052328:2052330,1417218,1,"[""1:2052328:2052330""]"
474,1:2181042:2181044,1414438,1,"[""1:2181042:2181044""]"
475,0:2337307:2337309,1414018,1,"[""0:2337307:2337309""]"
476,1:1677502:1677504,1410158,1,"[""1:1677502:1677504""]"
477,0:2223895:2223897,1407338,1,"[""0:2223895:2223897""]"
478,1:2183218:2183220,1405988,1,"[""1:2183218:2183220""]"
479,1:2338748:2338750,1405988,1,"[""1:2338748:2338750""]"
480,1:2288416:2288418,1402688,1,"[""1:2288416:2288418""]"
481,1:2299294:2299296,1398708,1,"[""1:2299294:2299296""]"
482,0:1680283:1680285,1398658,1,"[""0:1680283:1680285""]"
483,0:2300011:2300013,1398638,1,"[""0:2300011:2300013""]"
484,1:1605858:1605860,1397748,1,"[""1:1605858:1605860""]"
485,1:2283018:2283020,1396538,1,"[""1:2283018:2283020""]"
486,1:2062686:2062688,1395927,1,"[""1:2062686:2062688""]"
487,0:2190541:2190543,1389848,1,"[""0:2190541:2190543""]"
488,0:2062685:2062687,1387178,1,"[""0:2062685:2062687""]"
489,1:2139464:2139466,1387068,1,"[""1:2139464:2139466""]"
490,1:1084318:1084320,1385788,1,"[""1:1084318:1084320""]"
491,0:2104945:2104947,1385488,1,"[""0:2104945:2104947""]"
492,0:1084317:1084319,1384008,1,"[""0:1084317:1084319""]"
493,1:1601654:1601656,1381807,1,"[""1:1601654:1601656""]"
494,1:926574:926576,1377858,1,"[""1:926574:926576""]"
495,1:2342490:2342492,1376208,1,"[""1:2342490:2342492""]"
496,1:564982:564984,1375628,1,"[""1:564982:564984""]"
497,0:2312131:2312133,1371628,1,"[""0:2312131:2312133""]"
498,0:2288415:2288417,1369587,1,"[""0:2288415:2288417""]"
499,0:2283017:2283019,1369418,1,"[""0:2283017:2283019""]"
500,0:1605857:1605859,1368738,1,"[""0:1605857:1605859""]"
501,0:2299293:2299295,1367878,1,"[""0:2299293:2299295""]"
502,1:2190542:2190544,1366428,1,"[""1:2190542:2190544""]"
503,1:2318398:2318400,1361598,1,"[""1:2318398:2318400""]"
504,1:2129660:2129662,1354058,1,"[""1:2129660:2129662""]"
505,1:2140302:2140304,1346887,1,"[""1:2140302:2140304""]"
506,0:1601653:1601655,1342317,1,"[""0:1601653:1601655""]"
507,0:2052327:2052329,1337958,1,"[""0:2052327:2052329""]"
508,1:1654408:1654410,1334668,1,"[""1:1654408:1654410""]"
509,1:109460:109462,1334057,1,"[""1:109460:109462""]"
510,1:2120372:2120374,1333788,1,"[""1:2120372:2120374""]"
511,0:2037411:2037413,1333268,1,"[""0:2037411:2037413""]"
512,0:2129659:2129661,1331007,1,"[""0:2129659:2129661""]"
513,0:2298249:2298251,1330568,1,"[""0:2298249:2298251""]"
514,0:2342489:2342491,1328817,1,"[""0:2342489:2342491""]"
515,1:2293632:2293634,1327437,1,"[""1:2293632:2293634""]"
516,1:278038:278040,1326647,1,"[""1:278038:278040""]"
517,1:1448498:1448500,1325688,1,"[""1:1448498:1448500""]"
518,1:55762:55764,1323858,1,"[""1:55762:55764""]"
519,0:1675777:1675779,1321868,1,"[""0:1675777:1675779""]"
520,1:1697822:1697824,1321078,1,"[""1:1697822:1697824""]"
521,0:2120371:2120373,1319538,1,"[""0:2120371:2120373""]"
522,1:2136450:2136452,1316298,1,"[""1:2136450:2136452""]"
523,0:1749491:1749493,1314847,1,"[""0:1749491:1749493""]"
524,0:278037:278039,1305137,1,"[""0:278037:278039""]"
525,1:2301050:2301052,1299148,1,"[""1:2301050:2301052""]"
526,0:1654407:1654409,1293617,1,"[""0:1654407:1654409""]"
527,0:2136449:2136451,1292747,1,"[""0:2136449:2136451""]"
528,0:2293631:2293633,1288537,1,"[""0:2293631:2293633""]"
529,1:1771864:1771866,1287497,1,"[""1:1771864:1771866""]"
530,0:481073:481075,1282458,1,"[""0:481073:481075""]"
531,1:2287356:2287358,1281937,1,"[""1:2287356:2287358""]"
532,0:1796989:1796991,1281607,1,"[""0:1796989:1796991""]"
533,1:1542482:1542484,1270597,1,"[""1:1542482:1542484""]"
534,1:1638452:1638454,1270517,1,"[""1:1638452:1638454""]"
535,0:1771863:1771865,1267797,1,"[""0:1771863:1771865""]"
536,0:2301049:2301051,1264668,1,"[""0:2301049:2301051""]"
537,1:1784966:1784968,1262857,1,"[""1:1784966:1784968""]"
538,0:2051867:2051869,1262367,1,"[""0:2051867:2051869""]"
539,1:2468426:2468428,1260646,1,"[""1:2468426:2468428""]"
540,0:1955173:1955175,1260497,1,"[""0:1955173:1955175""]"
541,1:2340646:2340648,1260287,1,"[""1:2340646:2340648""]"
542,1:2176178:2176180,1260047,1,"[""1:2176178:2176180""]"
543,1:2193666:2193668,1258127,1,"[""1:2193666:2193668""]"
544,1:1835858:1835860,1257857,1,"[""1:1835858:1835860""]"
545,1:2184286:2184288,1253757,1,"[""1:2184286:2184288""]"
546,0:2287355:2287357,1252347,1,"[""0:2287355:2287357""]"
547,0:1638451:1638453,1245497,1,"[""0:1638451:1638453""]"
548,1:2173594:2173596,1244867,1,"[""1:2173594:2173596""]"
549,0:2438145:2438147,1244747,1,"[""0:2438145:2438147""]"
550,0:2468425:2468427,1243496,1,"[""0:2468425:2468427""]"
551,0:2193665:2193667,1239527,1,"[""0:2193665:2193667""]"
552,1:2322314:2322316,1238157,1,"[""1:2322314:2322316""]"
553,1:2055296:2055298,1238107,1,"[""1:2055296:2055298""]"
554,0:2040309:2040311,1234977,1,"[""0:2040309:2040311""]"
555,0:1085367:1085369,1234287,1,"[""0:1085367:1085369""]"
556,0:1835857:1835859,1233917,1,"[""0:1835857:1835859""]"
557,1:2285638:2285640,1233757,1,"[""1:2285638:2285640""]"
558,0:2173593:2173595,1223327,1,"[""0:2173593:2173595""]"
559,0:2048763:2048765,1219097,1,"[""0:2048763:2048765""]"
560,1:2161246:2161248,1217317,1,"[""1:2161246:2161248""]"
561,1:1085366:1085368,1216197,1,"[""1:1085366:1085368""]"
562,1:1771574:1771576,1214907,1,"[""1:1771574:1771576""]"
563,1:2099296:2099298,1214557,1,"[""1:2099296:2099298""]"
564,0:2322313:2322315,1208526,1,"[""0:2322313:2322315""]"
565,1:2274436:2274438,1206937,1,"[""1:2274436:2274438""]"
566,1:1585014:1585016,1205276,1,"[""1:1585014:1585016""]"
567,1:2203478:2203480,1202847,1,"[""1:2203478:2203480""]"
568,1:1818966:1818968,1198197,1,"[""1:1818966:1818968""]"
569,0:467443:467445,1198056,1,"[""0:467443:467445""]"
570,0:2055607:2055609,1196827,1,"[""0:2055607:2055609""]"
571,1:1537074:1537076,1193797,1,"[""1:1537074:1537076""]"
572,0:1771573:1771575,1193067,1,"[""0:1771573:1771575""]"
573,1:2116136:2116138,1192536,1,"[""1:2116136:2116138""]"
574,0:1439991:1439993,1192207,1,"[""0:1439991:1439993""]"
575,1:2063574:2063576,1187737,1,"[""1:2063574:2063576""]"
576,0:2134845:2134847,1184687,1,"[""0:2134845:2134847""]"
577,1:2191338:2191340,1184207,1,"[""1:2191338:2191340""]"
578,1:2055606:2055608,1183837,1,"[""1:2055606:2055608""]"
579,0:2203477:2203479,1182237,1,"[""0:2203477:2203479""]"
580,1:773110:773112,1181717,1,"[""1:773110:773112""]"
581,0:1537073:1537075,1175687,1,"[""0:1537073:1537075""]"
582,0:2274435:2274437,1174437,1,"[""0:2274435:2274437""]"
583,1:2192506:2192508,1172306,1,"[""1:2192506:2192508""]"
584,0:2116135:2116137,1169466,1,"[""0:2116135:2116137""]"
585,1:2182126:2182128,1167427,1,"[""1:2182126:2182128""]"
586,1:368474:368476,1166967,1,"[""1:368474:368476""]"
587,0:1585013:1585015,1166156,1,"[""0:1585013:1585015""]"
588,1:2118628:2118630,1165917,1,"[""1:2118628:2118630""]"
589,1:2361820:2361822,1162857,1,"[""1:2361820:2361822""]"
590,0:936229:936231,1160766,1,"[""0:936229:936231""]"
591,0:2067513:2067515,1153557,1,"[""0:2067513:2067515""]"
592,0:2192505:2192507,1153406,1,"[""0:2192505:2192507""]"
593,1:2274670:2274672,1146496,1,"[""1:2274670:2274672""]"
594,0:773109:773111,1141907,1,"[""0:773109:773111""]"
595,0:1849415:1849417,1141856,1,"[""0:1849415:1849417""]"
596,1:936228:936230,1139817,1,"[""1:936228:936230""]"
597,0:2063573:2063575,1139567,1,"[""0:2063573:2063575""]"
598,0:2361819:2361821,1136216,1,"[""0:2361819:2361821""]"
599,0:2118627:2118629,1134407,1,"[""0:2118627:2118629""]"
600,0:370825:370827,1134367,1,"[""0:370825:370827""]"
601,0:2453211:2453213,1132136,1,"[""0:2453211:2453213""]"
602,1:467462:467464,1131527,1,"[""1:467462:467464""]"
603,1:1805058:1805060,1127697,1,"[""1:1805058:1805060""]"
604,0:2274669:2274671,1120656,1,"[""0:2274669:2274671""]"
605,1:683374:683376,1115937,1,"[""1:683374:683376""]"
606,1:1821650:1821652,1114856,1,"[""1:1821650:1821652""]"
607,1:2042448:2042450,1110666,1,"[""1:2042448:2042450""]"
608,1:103476:103478,1107107,1,"[""1:103476:103478""]"
609,1:2083036:2083038,1106716,1,"[""1:2083036:2083038""]"
610,0:2083035:2083037,1101716,1,"[""0:2083035:2083037""]"
611,1:2338158:2338160,1098607,1,"[""1:2338158:2338160""]"
612,0:1805057:1805059,1096186,1,"[""0:1805057:1805059""]"
613,0:1821649:1821651,1095536,1,"[""0:1821649:1821651""]"
614,1:2343352:2343354,1095467,1,"[""1:2343352:2343354""]"
615,1:2487038:2487040,1094346,1,"[""1:2487038:2487040""]"
616,1:1636626:1636628,1092376,1,"[""1:1636626:1636628""]"
617,0:2048951:2048953,1090456,1,"[""0:2048951:2048953""]"
618,0:2181041:2181043,1088446,1,"[""0:2181041:2181043""]"
619,0:103475:103477,1087766,1,"[""0:103475:103477""]"
620,1:2312132:2312134,1085796,1,"[""1:2312132:2312134""]"
621,0:683373:683375,1085086,1,"[""0:683373:683375""]"
622,1:989404:989406,1084616,1,"[""1:989404:989406""]"
623,0:368681:368683,1083216,1,"[""0:368681:368683""]"
624,0:2338157:2338159,1082516,1,"[""0:2338157:2338159""]"
625,0:2042447:2042449,1082466,1,"[""0:2042447:2042449""]"
626,1:1363484:1363486,1079746,1,"[""1:1363484:1363486""]"
627,0:926573:926575,1073767,1,"[""0:926573:926575""]"
628,0:1636625:1636627,1073006,1,"[""0:1636625:1636627""]"
629,0:55761:55763,1068346,1,"[""0:55761:55763""]"
630,0:989403:989405,1060976,1,"[""0:989403:989405""]"
631,0:1677501:1677503,1060666,1,"[""0:1677501:1677503""]"
632,0:109459:109461,1053196,1,"[""0:109459:109461""]"
633,0:564981:564983,1047947,1,"[""0:564981:564983""]"
634,1:2156618:2156620,1047426,1,"[""1:2156618:2156620""]"
635,1:755560:755562,1046336,1,"[""1:755560:755562""]"
636,1:796692:796694,1043236,1,"[""1:796692:796694""]"
637,0:2156617:2156619,1037766,1,"[""0:2156617:2156619""]"
