rank,group_or_event_key,score_ns,member_count,source_member_ids_json
10221,d6902c2751d3234fd5567db91ca811cf546a05a161dcd22e8440d2727486137b,407360,1,"[""d6902c2751d3234fd5567db91ca811cf546a05a161dcd22e8440d2727486137b""]"
10222,dd88fd671ff616257faecc6e182fe20f1dfb5f3a4809dd329bfb5f0558924ab8,407360,1,"[""dd88fd671ff616257faecc6e182fe20f1dfb5f3a4809dd329bfb5f0558924ab8""]"
10223,72c4b01947132e158cd47f868bfd3d901c83a68a3433686fe1b91d85ddd97640,407200,1,"[""72c4b01947132e158cd47f868bfd3d901c83a68a3433686fe1b91d85ddd97640""]"
10224,7df66cee8d2a56ef0672edf9fcd4a650d46cdd0c25dbece7315446d2e1c26be6,407200,1,"[""7df66cee8d2a56ef0672edf9fcd4a650d46cdd0c25dbece7315446d2e1c26be6""]"
10225,809b3a666dcb97185ff10ac888ec4e50230e51e4de031b542658c1fc2e582866,407200,1,"[""809b3a666dcb97185ff10ac888ec4e50230e51e4de031b542658c1fc2e582866""]"
10226,c574a174cbcaadd918ce3d80af6742a6ca7cee177a8f5e9731a854c68f24f61f,407200,1,"[""c574a174cbcaadd918ce3d80af6742a6ca7cee177a8f5e9731a854c68f24f61f""]"
10227,06dd73fa803ea99fd2a66d635745ccad1e7c946c2e01fa54bb1176f6c2131b85,407040,1,"[""06dd73fa803ea99fd2a66d635745ccad1e7c946c2e01fa54bb1176f6c2131b85""]"
10228,15073c4d32edd3808146d333a5a2d237533d47e69aa07bcdbb8e878e46e36b15,407040,1,"[""15073c4d32edd3808146d333a5a2d237533d47e69aa07bcdbb8e878e46e36b15""]"
10229,aa8e28115cb2c21c3d88d451e5855cd9b549438cac880f6e3ab534386dca8705,407040,1,"[""aa8e28115cb2c21c3d88d451e5855cd9b549438cac880f6e3ab534386dca8705""]"
10230,c8f685d8ee2a803b4c71eeae8c15c245a685899a6ea73b2d05e7981940da0002,407040,1,"[""c8f685d8ee2a803b4c71eeae8c15c245a685899a6ea73b2d05e7981940da0002""]"
10231,0092fd295b84ef97eeb7061168c022893f0888609f66aa3aafc607c64f0a05a7,406880,1,"[""0092fd295b84ef97eeb7061168c022893f0888609f66aa3aafc607c64f0a05a7""]"
10232,25da6703d42b59e6320cce21ec1858c7b845d0659662e08ad4e600dbf1c31fc8,406880,1,"[""25da6703d42b59e6320cce21ec1858c7b845d0659662e08ad4e600dbf1c31fc8""]"
10233,325815be09c70b33a03b47f4468d932b4ba28685151aef0880c641f30c5a74c1,406880,1,"[""325815be09c70b33a03b47f4468d932b4ba28685151aef0880c641f30c5a74c1""]"
10234,71b7a598eaf0f204c039de5189f148784192b049cb915f54f7515927b6415a83,406880,1,"[""71b7a598eaf0f204c039de5189f148784192b049cb915f54f7515927b6415a83""]"
10235,3b8d2572c8488c1df303621a7fc9a6003577a722b43215c674d6dcc899987105,406720,1,"[""3b8d2572c8488c1df303621a7fc9a6003577a722b43215c674d6dcc899987105""]"
10236,592d299295498ed7dd18015cccd164589411e8f96034d4b81972d01d79dc8b2c,406720,1,"[""592d299295498ed7dd18015cccd164589411e8f96034d4b81972d01d79dc8b2c""]"
10237,71227cd0c3538854164ff40f8bf70707dd21ef9a488faf3a20bd928983d22478,406720,1,"[""71227cd0c3538854164ff40f8bf70707dd21ef9a488faf3a20bd928983d22478""]"
10238,78421bdaa3657fd7aed60af9e07c5c6a7143d156adbd352b7f1e5fa7fbc5185b,406720,1,"[""78421bdaa3657fd7aed60af9e07c5c6a7143d156adbd352b7f1e5fa7fbc5185b""]"
10239,93beb697daf5f46431b7b167ee156f6e2a746baa5ae82e0de475399e12c861b1,406720,1,"[""93beb697daf5f46431b7b167ee156f6e2a746baa5ae82e0de475399e12c861b1""]"
10240,e7bf16e1d66e8ec933e1d2501425a7c87817ab52bab91fe7408f932a2a3f88e6,406720,1,"[""e7bf16e1d66e8ec933e1d2501425a7c87817ab52bab91fe7408f932a2a3f88e6""]"
10241,f59ffeef5fc6ff5bd3f10977302762826478a085ac2cca26777414e12681679c,406720,1,"[""f59ffeef5fc6ff5bd3f10977302762826478a085ac2cca26777414e12681679c""]"
