kernel_instance_id,runtime_call_id,hip_runtime_index,native_kernel_name,api_arguments
bb9469f46eba613d3ee9a49c6734e19adcad23d435f6cbd93be52ef9a449fed3,f543d5008fcce0c0a38b3f563c005e616e67dba229288a7d068af749df050299,7465199,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd5b750, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb37213f8, sharedMemBytes=0, stream=0)"
36ad4d8a72c3bc1d1248ba7db0a9b42b2cf822e989baa6eaaa55b0eff5d88bc7,f26f78c01c38a0abe575cbbf72078171ab395671835b2de28b678dfccfcf6a73,7465220,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd62c50, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721050, sharedMemBytes=0, stream=0)"
b344c8f65f0c782f7dd1ab379662e108ccbee783d26350b569abe0185a36d16e,82b4da9e8b0854b1f9fb1f37120d3a4035703b399210c7f9c0dd69e7883905cd,7465239,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 1, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)","hipLaunchKernel(function_address=0x7facbbd7f450, numBlocks={z=1, y=2, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb371f348, sharedMemBytes=0, stream=0)"
4c5e628f87baaa13bff65539db3199b44f5b51953efa89cfd2d309aca509d569,1a6dee0b3193d7346e42b0e5eeebc8684340d438cade2fddc63d89cd208f37e9,7465263,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1})","hipLaunchKernel(function_address=0x7facbbd6af48, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=128}, args=0x7ffeb3720bd0, sharedMemBytes=0, stream=0)"
72dcdc3db2efd019a02126383288923201eeb12670595acb680b3aaa3fde319a,6df35149478814f4a09087466d1bc3676c52eb1b5d028eec3ada88192b289614,7465286,"void rocprim::detail::single_scan_kernel<false, rocprim::detail::wrapped_scan_config<rocprim::default_config, long>, long const*, long*, std::plus<long>, long, long>(long const*, unsigned long, long, long*, std::plus<long>)","hipLaunchKernel(function_address=0x7facbbd6c3d8, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721b48, sharedMemBytes=0, stream=0)"
27ce9468b39c2ec987443ddf30ddcc771ab784ee4f95c3e9ebcd2fa08a53c08c,acca41907cfb6515bb7e412d9c091204070c70ba86139b7d3bcf5a11bc7f98b7,7465323,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,"hipModuleLaunchKernel(f=0x560e0480e480, gridDimX=2, gridDimY=48, gridDimZ=1, blockDimX=256, blockDimY=1, blockDimZ=1, sharedMemBytes=40960, stream=0, kernelParams=0x7ffeb37216f0, extra=NULL)"
56e1f671024ab93dd4d56e94e391f9475cace204dca9507e1a16138d1f80520a,530531f260e60f7e4d0a478af66367eb75332ac9a244ff8b507a7414c1d55da0,7465341,chunk_fwd_kernel_o,"hipModuleLaunchKernel(f=0x560e0598a620, gridDimX=4, gridDimY=8, gridDimZ=48, blockDimX=128, blockDimY=1, blockDimZ=1, sharedMemBytes=40960, stream=0, kernelParams=0x7ffeb3721748, extra=NULL)"
de08df3eaebf76e147ccdedb8b9eec256e5b295a1a88c643b3ee61deb33e6406,15ed6a0d0ed3e896a6fbb6c0e7ecff0ac0647dd3f9f5752ce7aa6ee3c58ec6d5,7465363,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1})","hipLaunchKernel(function_address=0x7facbbd6af48, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=128}, args=0x7ffeb3722800, sharedMemBytes=0, stream=0)"
f3daf3e7c328d0aa46736312128464c9f66aa4b55c2fa985df420f3241842213,8b202c2eff5d97929a8d837585d79a2a50ddfc43ae6ab7ff2da6f6794275b540,7465378,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})","hipLaunchKernel(function_address=0x7facbbd73b60, numBlocks={z=1, y=1, x=1536}, dimBlocks={z=1, y=1, x=128}, args=0x7ffeb3723808, sharedMemBytes=0, stream=0)"
8a74562e92856b0ca1ed86e7804ff7ccaa4ef979d7975c11275d54b1f01500a5,ea884797aa82d41d477eef513b7b6e63d8b1fceb0044c8af24b82c446ea8147c,7465401,_gdn_rmsnorm,"hipModuleLaunchKernel(f=0x560df56c19d0, gridDimX=1536, gridDimY=1, gridDimZ=1, blockDimX=256, blockDimY=1, blockDimZ=1, sharedMemBytes=0, stream=0, kernelParams=0x7ffeb3723e08, extra=NULL)"
